name,result
Dan Henderson,win
Luke Rockhold,win
Anderson Silva,win
Thales Leites,win
CB Dollaway,win
Luke Rockhold,loss
Cung Le,win
Tim Kennedy,loss
Alan Belcher,win
Vitor Belfort,loss
Brian Stann,win
Chael Sonnen,loss
Jason Miller,win
Jorge Rivera,win
Yoshihiro Akiyama,win
Dan Miller,win
Wanderlei Silva,loss
Denis Kang,win
Dan Henderson,loss
Chris Leben,win
Jason Day,win
Charles McCarthy,win
Rashad Evans,loss
Matt Hamill,win
Elvis Sinosic,win
Eric Schafer,win
Josh Haynes,win
Ross Pointon,win
Jakob Lovstad,win
Miika Mehmet,win
