,reach,weight,height,w/l,SLpM,Str. Acc.,SApM,Str. Def,TD Avg,TD Acc.,TD Def.,Sub. Avg.,result
0,0.0,25.0,2.0,-0.08571428571428574,2.03,26.0,0.3900000000000001,-17.0,1.65,30.0,6.0,-0.3,1.0
1,1.0,15.0,2.0,-0.18461538461538463,-0.1200000000000001,-11.0,0.6699999999999999,3.0,-1.4,-22.0,3.0,0.0,1.0
2,1.0,30.0,0.0,-0.03076923076923077,0.2400000000000002,-5.0,-0.08000000000000007,-8.0,0.10000000000000009,13.0,-14.0,-0.3,0.0
3,3.0,25.0,0.0,0.00952380952380949,0.6800000000000002,9.0,-1.42,-11.0,-0.5999999999999999,11.0,-21.0,-0.3,0.0
4,2.0,15.0,1.0,0.018181818181818188,1.4500000000000002,-10.0,5.03,-8.0,-1.4,-22.0,-77.0,-0.3,1.0
0,-4.0,-15.0,-2.0,-0.04729729729729726,0.6900000000000004,-14.0,-0.06999999999999984,16.0,-2.74,7.0,13.0,-0.9,0.0
1,-1.0,0.0,2.0,-0.05769230769230771,-0.5899999999999999,-5.0,-0.4299999999999997,-2.0,-0.6400000000000001,-7.0,7.0,-0.9,0.0
2,-1.0,-15.0,2.0,-0.05769230769230771,-0.04999999999999982,-7.0,-0.040000000000000036,1.0,-3.06,43.0,16.0,-0.5,0.0
3,-3.0,-15.0,0.0,0.0,0.3400000000000003,-2.0,0.8300000000000001,-10.0,-2.14,9.0,0.0,-1.3,1.0
0,5.0,0.0,4.0,0.14423076923076927,0.18999999999999995,7.0,-0.79,-12.0,-0.7599999999999998,-9.0,-34.0,-0.19999999999999996,0.0
1,-2.0,-15.0,1.0,-0.125,-2.1,-2.0,-1.1099999999999999,-3.0,-2.13,-42.0,-42.0,-0.7,1.0
0,4.0,0.0,4.0,-0.19166666666666665,-0.8900000000000001,6.0,-3.49,-4.0,0.58,66.0,23.0,0.3,0.0
1,0.0,0.0,1.0,0.08333333333333337,-1.08,5.0,-3.4600000000000004,5.0,4.59,57.0,83.0,0.7,0.0
0,0.0,0.0,0.0,-0.050000000000000044,-0.5,15.0,-0.45999999999999996,-1.0,-1.1500000000000001,-27.0,11.0,-0.30000000000000004,1.0
1,-1.0,0.0,0.0,-0.014285714285714346,-0.54,12.0,0.18999999999999995,7.0,-1.5,-20.0,16.0,0.09999999999999998,0.0
2,-1.0,0.0,-1.0,0.08235294117647052,-0.7999999999999998,23.0,1.13,-6.0,-1.25,14.0,20.0,0.7000000000000001,0.0
3,1.0,0.0,1.0,-0.06666666666666676,0.17000000000000037,5.0,3.02,6.0,1.02,33.0,-6.0,1.9,1.0
4,3.0,0.0,1.0,-0.11250000000000004,0.41000000000000014,16.0,-0.5100000000000002,7.0,-1.32,4.0,16.0,0.4,1.0
5,-2.0,0.0,-2.0,-0.10769230769230775,2.57,35.0,0.9099999999999997,-6.0,-0.03000000000000025,0.0,16.0,-0.4,1.0
0,0.0,15.0,4.0,0.008333333333333415,-0.3999999999999999,0.0,-0.52,2.0,-1.85,-41.0,-37.0,-0.09999999999999998,1.0
1,1.0,15.0,2.0,-0.042105263157894646,-1.56,6.0,-0.9100000000000001,-6.0,-1.1400000000000001,-7.0,-39.0,-0.30000000000000004,0.0
2,2.0,15.0,3.0,0.11578947368421055,1.3400000000000003,-3.0,-0.9900000000000002,9.0,-1.19,-24.0,-28.0,-0.7,0.0
3,4.0,15.0,1.0,-0.006122448979591799,-0.8300000000000001,-6.0,-1.9700000000000002,10.0,0.21999999999999975,-2.0,-54.0,0.19999999999999996,1.0
4,1.0,15.0,1.0,-0.033333333333333326,-0.22999999999999998,1.0,-0.75,-5.0,-1.1500000000000001,-26.0,-39.0,-0.19999999999999996,0.0
5,4.0,0.0,2.0,0.30000000000000004,1.5500000000000003,5.0,0.7199999999999998,-13.0,0.06000000000000005,-46.0,-42.0,-1.0,0.0
6,1.0,0.0,0.0,-0.11666666666666659,1.6099999999999999,5.0,-0.07000000000000028,3.0,-1.7200000000000002,-40.0,-32.0,-0.7,1.0
7,-1.0,0.0,2.0,0.10555555555555562,-0.6499999999999999,-5.0,-1.82,-1.0,0.54,-38.0,-57.0,0.19999999999999996,0.0
0,5.0,-5.0,2.0,0.26315789473684215,1.8299999999999998,37.0,-2.2699999999999996,1.0,2.25,54.0,52.0,0.2,0.0
1,-5.0,-5.0,-2.0,0.375,1.0999999999999999,22.0,-2.4299999999999997,28.0,1.32,71.0,70.0,0.0,0.0
0,-2.0,0.0,-3.0,-0.02777777777777779,0.3200000000000003,-9.0,0.5900000000000003,30.0,2.61,45.0,9.0,-5.3999999999999995,0.0
1,-4.0,10.0,-2.0,0.09234234234234229,-0.27,-12.0,-0.06000000000000005,30.0,0.56,28.0,-12.0,-5.1,0.0
2,6.0,10.0,1.0,0.07291666666666663,-1.6199999999999999,-8.0,-1.1999999999999997,29.0,1.06,20.0,-32.0,-4.699999999999999,0.0
3,6.0,0.0,1.0,-0.059523809523809534,-1.4,4.0,0.14000000000000012,6.0,1.03,44.0,5.0,-3.4999999999999996,1.0
4,0.0,0.0,0.0,0.15579710144927528,0.11000000000000032,-9.0,-0.73,31.0,3.16,55.0,19.0,-5.8999999999999995,0.0
0,3.0,0.0,2.0,-0.5,-1.4200000000000004,-26.0,0.33000000000000007,24.0,2.29,80.0,-20.0,-0.9,1.0
0,2.0,0.0,-1.0,-0.13269230769230766,-0.20999999999999996,2.0,0.30000000000000027,11.0,-0.31000000000000005,-14.0,-16.0,0.20000000000000007,1.0
1,-2.0,10.0,-1.0,-0.0035714285714285587,-0.5700000000000003,-3.0,0.79,4.0,1.42,-29.0,19.0,-0.29999999999999993,0.0
2,-1.0,0.0,-2.0,-0.15833333333333333,-0.7200000000000002,-6.0,-0.33999999999999986,4.0,1.0,-27.0,-2.0,0.30000000000000004,1.0
3,-4.0,0.0,-3.0,-0.05227272727272725,0.020000000000000018,-6.0,0.48,13.0,0.15000000000000013,-39.0,2.0,0.20000000000000007,0.0
4,-2.0,0.0,-2.0,-0.14078947368421046,-0.56,-10.0,1.1400000000000001,6.0,0.94,-48.0,-8.0,0.5,1.0
5,0.0,10.0,-1.0,-0.05227272727272725,-0.06000000000000005,-5.0,0.52,5.0,0.22999999999999998,-39.0,-13.0,0.40000000000000013,1.0
6,-5.0,-10.0,-3.0,-0.2649999999999999,0.8300000000000001,0.0,0.040000000000000036,18.0,-0.6299999999999999,-37.0,14.0,0.30000000000000004,1.0
