,reach,weight,height,w/l,SLpM,Str. Acc.,SApM,Str. Def,TD Avg,TD Acc.,TD Def.,Sub. Avg.,result
0,-1.0,0.0,1.0,-0.18623481781376527,-0.45999999999999996,-10.0,1.3499999999999999,-13.0,-1.0300000000000002,-18.0,3.0,-0.2,1.0
1,-1.0,0.0,1.0,-0.06593406593406603,0.10999999999999988,-19.0,0.6199999999999999,0.0,-2.33,-25.0,4.0,0.30000000000000004,1.0
2,-1.0,0.0,1.0,-0.06593406593406603,0.10999999999999988,-19.0,0.6199999999999999,0.0,-2.33,-25.0,4.0,0.30000000000000004,1.0
3,-3.0,0.0,0.0,-0.24307692307692308,0.040000000000000036,-9.0,0.49,-4.0,-2.4299999999999997,-15.0,-5.0,0.30000000000000004,1.0
4,-2.0,0.0,1.0,-0.013986013986014068,0.56,-10.0,0.9600000000000002,6.0,-1.42,-23.0,38.0,-0.3,1.0
5,2.0,10.0,5.0,-0.0064102564102564985,0.21999999999999975,-21.0,0.4099999999999999,9.0,-0.3700000000000001,-4.0,21.0,-0.4,0.0
6,0.0,10.0,0.0,-0.2193732193732194,0.029999999999999805,-12.0,1.72,-3.0,-2.74,-25.0,22.0,-0.5,1.0
7,0.0,10.0,0.0,-0.2193732193732194,0.029999999999999805,-12.0,1.72,-3.0,-2.74,-25.0,22.0,-0.5,1.0
8,0.0,0.0,4.0,-0.22307692307692317,0.16999999999999993,-8.0,0.6100000000000001,-2.0,-0.22999999999999998,6.0,-14.0,0.8,1.0
9,0.0,0.0,2.0,-0.023076923076923106,0.29000000000000004,-7.0,0.7100000000000002,-3.0,-1.54,-10.0,-7.0,-0.5,1.0
10,-2.0,0.0,2.0,-0.20085470085470092,0.2799999999999998,-13.0,1.51,2.0,-1.46,-24.0,26.0,-0.5,1.0
12,0.0,0.0,3.0,-0.16117216117216127,-0.8799999999999999,-10.0,1.0999999999999999,-12.0,-3.01,-34.0,-20.0,0.30000000000000004,1.0
13,2.0,10.0,4.0,-0.2564102564102565,-1.83,-18.0,1.4000000000000001,-8.0,-1.02,-11.0,-8.0,0.0,1.0
14,0.0,10.0,3.0,-0.32307692307692315,-1.2600000000000002,-14.0,0.7300000000000002,-14.0,-0.9100000000000001,10.0,-39.0,0.4,1.0
15,2.0,10.0,3.0,-0.2564102564102565,-0.33999999999999986,-22.0,2.87,-9.0,-1.0499999999999998,-10.0,-4.0,0.0,0.0
