first,last,nickname,height,weight,reach,stance,w,l,d,belt,SLpM,Str. Acc.,SApM,Str. Def,TD Avg,TD Acc.,TD Def.,Sub. Avg.
Tom,Aaron,n/a,n/a,155 lbs.,n/a,n/a,5,3,0,n/a,0,0%,0,0%,0,0%,0%,0
Danny,Abbadi,The Assassin,"5' 11""",155 lbs.,n/a,Orthodox,4,6,0,n/a,3.29,38%,4.41,57%,0,0%,77%,0
David,Abbott,Tank,"6' 0""",265 lbs.,n/a,Switch,10,14,0,n/a,1.35,30%,3.55,38%,1.07,33%,66%,0
Shamil,Abdurakhimov,Abrek,"6' 3""",235 lbs.,"76.0""",Orthodox,16,4,0,n/a,2.48,45%,2.5,58%,1.4,22%,77%,0.3
Hiroyuki,Abe,Abe Ani,"5' 6""",145 lbs.,n/a,Orthodox,8,14,3,n/a,1.71,36%,3.11,63%,0,0%,33%,0
Papy,Abedi,Makambo,"5' 11""",185 lbs.,"74.0""",Southpaw,9,3,0,n/a,2.8,55%,3.15,48%,3.47,57%,50%,1.3
Ricardo,Abreu,Demente,"5' 11""",185 lbs.,"73.0""",Orthodox,5,3,0,n/a,3.79,31%,3.98,68%,2.13,42%,100%,0.7
Daniel,Acacio,n/a,"5' 8""",180 lbs.,n/a,Orthodox,26,12,0,n/a,3.52,36%,2.85,62%,0.33,20%,81%,0
Scott,Adams,n/a,"6' 0""",225 lbs.,n/a,Southpaw,8,1,0,n/a,0,0%,0,0%,0,0%,0%,0
Sam,Adkins,The Experience,"6' 3""",225 lbs.,n/a,Orthodox,7,20,2,n/a,0,0%,0,0%,0,0%,0%,0
Nick,Agallar,n/a,"5' 8""",155 lbs.,n/a,Orthodox,24,6,0,n/a,0.69,11%,4.56,42%,0,0%,0%,0
Marcelo,Aguiar,n/a,"5' 10""",170 lbs.,n/a,Orthodox,2,3,1,n/a,0,0%,0,0%,0,0%,0%,0
Edwin,Aguilar,Tigre,"5' 10""",185 lbs.,n/a,n/a,22,16,0,n/a,0,0%,0,0%,0,0%,0%,0
Jessica,Aguilar,Jag,"5' 3""",115 lbs.,"63.0""",Orthodox,19,5,0,n/a,4.67,37%,7.4,55%,0,0%,0%,0
Mike,Aina,Iron,"5' 9""",155 lbs.,n/a,Orthodox,12,6,1,n/a,2.87,33%,6.33,59%,0,0%,71%,0
Hitomi,Akano,Girlfight Monster,"5' 4""",135 lbs.,n/a,Southpaw,18,8,0,n/a,0.59,45%,2.58,55%,0,0%,8%,0.5
Omari,Akhmedov,Wolverine,"6' 0""",170 lbs.,"73.0""",Orthodox,16,4,0,n/a,2.82,34%,2.6,57%,2.85,50%,50%,0.4
Yoshihiro,Akiyama,n/a,"5' 10""",170 lbs.,"73.0""",Orthodox,14,6,0,n/a,3.1,41%,3.62,57%,2.29,67%,92%,1
Razak,Al-Hassan,n/a,"6' 2""",205 lbs.,n/a,Orthodox,11,5,0,n/a,3.27,39%,3.14,60%,0.65,14%,57%,0
Mostapha,Al-Turk,n/a,"6' 2""",245 lbs.,"77.0""",Orthodox,6,6,0,n/a,1.36,19%,3.61,53%,0,0%,0%,0
Javi,Alanis,n/a,"5' 6""",135 lbs.,n/a,n/a,0,3,0,n/a,0,0%,0,0%,0,0%,0%,0
Brett,Albee,n/a,n/a,225 lbs.,n/a,n/a,3,1,0,n/a,0,0%,0,0%,0,0%,0%,0
John,Albert,Prince,"5' 8""",135 lbs.,"68.0""",n/a,7,5,0,n/a,3.05,49%,2.82,35%,0,0%,50%,6.1
Wes,Albritton,n/a,"5' 10""",188 lbs.,n/a,Orthodox,0,1,0,n/a,0,0%,0,0%,0,0%,0%,0
Alexandra,Albu,Stitch,"5' 2""",115 lbs.,"62.0""",Orthodox,6,0,0,n/a,4.9,67%,3.74,28%,0,0%,87%,1.8
Israel,Albuquerque,n/a,n/a,185 lbs.,n/a,Orthodox,0,3,0,n/a,0.32,13%,3.34,25%,0,0%,0%,0
Juan,Alcain,n/a,n/a,n/a,n/a,n/a,1,2,0,n/a,0,0%,0,0%,0,0%,0%,0
Iuri,Alcantara,Marajo,"5' 9""",135 lbs.,"71.0""",Southpaw,33,7,0,n/a,2.64,47%,2.03,52%,1.44,70%,58%,0.7
Ildemar,Alcantara,Marajo,"6' 2""",185 lbs.,"78.0""",Orthodox,21,8,0,n/a,1.93,38%,2.63,50%,2,68%,81%,0.9
Alfonso,Alcarez,n/a,"5' 3""",145 lbs.,n/a,n/a,1,3,1,n/a,0,0%,0,0%,0,0%,0%,0
Gilbert,Aldana,El Peligro,"6' 1""",250 lbs.,n/a,Orthodox,6,2,0,n/a,2.91,54%,6.26,26%,2.57,40%,33%,0
Irene,Aldana,n/a,"5' 9""",135 lbs.,"68.0""",Orthodox,7,3,0,n/a,7.2,42%,11.27,57%,1,100%,0%,0
Jose,Aldo,Junior,"5' 7""",145 lbs.,"70.0""",Orthodox,26,2,0,n/a,3.28,43%,2.09,71%,0.83,72%,92%,0.2
JJ,Aldrich,n/a,"5' 5""",115 lbs.,"67.0""",Southpaw,4,2,0,n/a,2.07,38%,3.73,54%,0,0%,33%,0
Jim,Alers,The Beast,"5' 9""",145 lbs.,"71.0""",Orthodox,13,3,0,n/a,2.9,40%,4.38,56%,2.26,41%,80%,0.3
John,Alessio,The Natural,"5' 10""",155 lbs.,"72.0""",Orthodox,34,16,0,n/a,1.87,35%,2.46,57%,1.78,36%,72%,1
Houston,Alexander,The Assassin,"6' 0""",205 lbs.,"72.0""",Orthodox,13,8,1,n/a,3.06,54%,3.2,52%,1.19,57%,33%,0
Kenneth,Alexander,The Machine,"5' 9""",155 lbs.,n/a,Orthodox,5,5,0,n/a,0.88,19%,2.2,66%,4.71,26%,0%,0
Marcio,Alexandre Junior,Lyoto,"6' 0""",170 lbs.,"75.0""",Southpaw,13,3,0,n/a,1.66,44%,2.97,41%,0.37,20%,72%,0.4
Olaf,Alfonso,n/a,"6' 2""",170 lbs.,n/a,Orthodox,8,11,0,n/a,0.74,26%,5.33,37%,0,0%,22%,0.6
Pablo,Alfonso,The Hurricane,"5' 8""",145 lbs.,n/a,n/a,6,5,0,n/a,0,0%,0,0%,0,0%,0%,0
Levi,Alford,n/a,n/a,n/a,n/a,n/a,1,4,0,n/a,0,0%,0,0%,0,0%,0%,0
Royce,Alger,n/a,"5' 10""",199 lbs.,n/a,Orthodox,3,2,0,n/a,0,0%,0,0%,0,0%,0%,0
Sultan,Aliev,n/a,"5' 11""",170 lbs.,"74.0""",Orthodox,14,2,0,n/a,1.3,57%,2.03,58%,1.69,66%,100%,0
George,Allen,n/a,"6' 2""",205 lbs.,n/a,Open Stance,13,19,2,n/a,0.8,38%,3.1,43%,0,0%,50%,0
